qx, qy, qz, qw, ax, ay, az, gx, gy, gz
5025,-683,-6794,14020,379,-1529,1357,-4,0,0
5025,-683,-6794,14020,377,-1521,1357,-4,0,3
5025,-683,-6794,14020,377,-1520,1345,-6,3,0
5025,-683,-6794,14020,371,-1526,1351,-8,-1,-3
5025,-683,-6794,14020,383,-1532,1355,-4,3,-7
5025,-683,-6794,14020,380,-1528,1343,9,5,-5
5025,-683,-6794,14020,384,-1514,1350,11,5,0
5025,-683,-6794,14020,385,-1520,1361,3,1,1
5025,-683,-6794,14020,380,-1527,1356,-2,2,-1
5025,-683,-6794,14020,382,-1522,1349,-8,4,2
5025,-683,-6794,14020,374,-1520,1339,6,3,2
5026,-683,-6790,14021,374,-1533,1353,23,6,-5
5026,-683,-6790,14021,375,-1512,1363,13,-1,3
5026,-683,-6790,14021,378,-1509,1355,-2,0,-3
5027,-683,-6790,14021,382,-1510,1360,-13,1,0
5026,-685,-6793,14019,374,-1529,1342,-19,3,-1
5026,-685,-6793,14019,379,-1527,1355,0,-1,2
5026,-685,-6793,14020,382,-1530,1365,3,-2,-2
5027,-685,-6793,14020,383,-1512,1361,4,4,-2
5027,-684,-6793,14020,380,-1514,1353,-2,3,0
5027,-684,-6792,14020,381,-1520,1362,-5,1,-5
5027,-684,-6793,14020,385,-1527,1342,0,1,-1
5028,-684,-6789,14021,378,-1520,1356,16,6,-2
5028,-684,-6789,14021,380,-1512,1351,15,5,-3
5028,-684,-6789,14021,381,-1509,1351,13,5,-4
5028,-684,-6789,14021,382,-1515,1369,4,5,-3
5028,-684,-6789,14021,379,-1522,1365,0,4,1
5028,-684,-6788,14021,381,-1526,1363,-1,1,-2
5028,-684,-6788,14021,367,-1521,1375,0,1,2
5028,-684,-6788,14021,377,-1507,1341,-1,-1,-1
5028,-684,-6788,14021,379,-1525,1362,-8,0,-4
5028,-684,-6788,14022,378,-1516,1359,-6,-1,-1
5028,-684,-6788,14021,386,-1538,1344,-8,-3,-12
5028,-684,-6788,14021,380,-1529,1353,3,0,-9
5030,-683,-6785,14022,378,-1515,1349,18,9,-8
5030,-683,-6785,14022,381,-1517,1351,15,10,-9
5030,-683,-6785,14022,392,-1521,1363,4,8,-5
5030,-683,-6784,14022,374,-1515,1363,9,11,-5
5030,-683,-6784,14022,382,-1519,1360,7,11,-1
5030,-683,-6784,14023,382,-1512,1364,9,7,8
5030,-683,-6784,14023,368,-1505,1358,1,4,8
5030,-683,-6783,14023,374,-1511,1368,-10,0,3
5030,-683,-6783,14023,375,-1509,1360,-16,-5,5
5029,-683,-6786,14022,387,-1520,1363,-21,-4,6
5027,-684,-6790,14021,371,-1521,1359,-28,-9,8
5026,-685,-6793,14020,375,-1518,1360,-25,-10,4
5024,-685,-6796,14019,378,-1511,1359,-29,-9,6
5022,-686,-6800,14017,378,-1515,1362,-31,-9,7
5020,-686,-6804,14016,377,-1505,1349,-32,-8,8
5018,-687,-6811,14014,379,-1531,1344,-39,-15,6
5016,-688,-6817,14011,381,-1535,1345,-34,-10,6
5016,-688,-6817,14011,380,-1536,1341,-13,-5,5
5016,-688,-6817,14011,378,-1528,1344,-7,-2,2
5016,-688,-6817,14011,376,-1521,1359,-7,-4,-1
5016,-688,-6817,14011,378,-1532,1355,-3,-2,-6
5016,-688,-6817,14011,379,-1527,1356,2,0,-2
5016,-687,-6817,14011,387,-1524,1354,-5,-2,-3
5016,-688,-6817,14011,373,-1526,1341,-5,3,-5
5016,-688,-6817,14011,372,-1545,1350,2,6,-6
5016,-688,-6817,14011,379,-1536,1346,14,5,0
5016,-688,-6817,14011,372,-1515,1353,14,4,-4
5016,-688,-6817,14012,378,-1525,1357,0,-1,-1
5016,-688,-6816,14012,378,-1524,1351,-7,4,-2
5016,-688,-6817,14012,381,-1536,1347,-1,8,1
5017,-687,-6813,14013,377,-1515,1352,17,6,-3
5018,-687,-6808,14015,378,-1526,1366,20,3,-1
5018,-687,-6808,14015,379,-1512,1361,8,3,1
5018,-686,-6807,14015,376,-1513,1357,-14,3,0
5018,-686,-6807,14015,386,-1534,1350,-14,5,-3
5018,-686,-6807,14015,379,-1524,1358,-3,4,2
5018,-686,-6807,14015,377,-1528,1352,-1,-2,1
5018,-686,-6807,14015,377,-1539,1353,4,0,-2
5018,-686,-6807,14015,381,-1514,1355,-1,1,-1
5018,-686,-6807,14016,373,-1513,1360,-10,2,0
5018,-686,-6807,14016,382,-1531,1360,-7,4,-1
5018,-686,-6806,14016,372,-1517,1359,1,0,2
5018,-686,-6806,14016,379,-1526,1350,3,2,-4
5018,-686,-6806,14016,381,-1530,1351,-1,-1,-5
5018,-686,-6806,14016,378,-1525,1341,-8,3,-3
5018,-686,-6806,14016,374,-1522,1345,-7,-3,-3
5018,-686,-6806,14016,385,-1519,1348,0,5,-5
5019,-686,-6806,14016,378,-1522,1368,-1,6,-3
5019,-686,-6806,14016,373,-1521,1353,2,4,0
5019,-686,-6806,14016,383,-1520,1362,-3,1,-3
5019,-686,-6806,14016,388,-1520,1348,1,0,-1
5019,-686,-6805,14016,382,-1521,1358,-12,-5,-2
5019,-686,-6805,14016,384,-1523,1363,-11,0,-2
5019,-685,-6805,14016,378,-1523,1361,-2,3,0
